Realnex Key,Search Address
0196148D-12D1-4290-9BB6-30B2457F6DE1,11606 North Bammel
026EA49C-77CD-47B5-AB61-9508479C083B,  Louetta Rd
02760F1F-E3A9-4889-8ADB-222119765A35,25511  Budde Rd
029470FC-5200-4957-BDF9-428A96960F61,12330 N Gessner Rd Apt 127
03307FD9-49A0-4C6B-A734-77100F916F5F,  Root Rd
04EF6AAA-A213-4649-A373-F36AB36C53B5,26206  Oak Ridge Drive
0510F372-E343-41A0-A2E8-AFEED233A8A5,295 N Rural Rd Unit 121
05B3BAE1-E602-4031-889C-B21FA1D4CA30,3835  Fm 2920 Rd
05DA228A-5AC5-4470-BAA7-6DA8703DDBE5,650  Westcross St Unit 13
05DDF0B6-87C2-48D3-8E2C-673087FA4FCC,707  Cardinal Ln Apt G1
0629E2F7-5138-4304-8DFD-D9C8E6A48D1C,2101  Peachtree St
068704BE-8DFF-4733-AA28-D096984DC423,  Po Box
06FAD21D-FD20-4DA0-9629-64DA44BC05EF,7805  Louetta Rd
071AACCA-0B5A-4100-AB40-50EF94868CEA,2537  Pne Shadows Dr Apt 618
0726E0DA-498D-4CD0-9A69-4C0EB3FEE554,3007 S Dairy Ashford Road
07F19CEA-BF6D-4357-8BEA-5B5BA5A2347A,31479  State Highway 249
0816257C-303F-4A54-A928-3F685F7685B7,8626 N Fairbanks
083559C3-0275-40C6-A715-E1FDB9182553,6722  Sudbury
084E91EE-C727-4BB7-8DE5-C2F589C7AC52,11828  Fm 1488 Rd
08961AB1-3A3C-4060-A13A-E9C2AC01E107,10110  Woodlands Pkwy
08B727B1-C9D4-49D4-8211-B2F1E1C10E00,  Po Box 1013
08BA8F93-25CC-423C-80DF-AC22A3724361,2316  Stableridge
09238228-D83D-4B5E-9628-88101F40B478,32708  Wright Rd
09251AEC-ECD5-4AF1-9AEE-EC5120AE42BE,8613  Helms Ave
09C09521-76EF-48DD-882E-A9BA304F5DC9,  Po Box 23130
09F3CE6D-347A-4DD3-BCF4-FD01E0A2FD86,1015 Ne 163Rd St Apt 20
0A9FF3DD-77AE-4F05-8C46-8B8D3E53AB98,13750  Rotunda Dr
32D55C8E-A46A-4DA2-AEC7-B9A7329FCECF,21001  Interstate 45
339CF509-C421-4DF7-8C5F-577C1C33ECAE,526  Redford Pl Dr
33BF0E54-8FD2-459C-A40E-702DC83DD5CE,30402  Dobbin Huffsmith Rd
33BFA77F-C8B7-4785-BA6A-98A3B0508271,12211  Carriage Lane
33F97C6D-916A-4926-AA0E-F3BF3D41FD66,1100  Cypress Creek Pkwy
34256E85-5C7B-4BAA-985B-106254D6B591,5340  Fleetwood Pl
3481CB11-1AE1-4965-9CE6-24CB9C7A6545,38  Hildene Way
34F43A50-DE39-4736-8E12-4C1CF58F24CB,14411 West Rd
350CB17B-C134-409A-8DA0-65E9F375A2A8,16518  Lonesome Pine St
3574C319-3BE0-4B5D-AF4E-7B2888904C04,201  9Th St
3594D628-7411-4FA4-BA21-2F0F0E082DDD,415  Spring Hill Dr
35B82EA8-56AA-4D76-8C82-0332E3689F30,13907  Elm Trl Ln
35C42498-2E37-47D0-9384-1E7D40EB3E5D,  Po Box
3649A796-052B-4A6C-B9F6-7FF21CF9C62F,2340 W Seltice Way Apt 154A
36779350-4C35-4247-9FF2-420D547929AC,20706  Dickinson Mnr Ln
370DC39C-971B-45C5-98EB-4B99C714EAF8,18602  Fm 1488 Rd
373995A6-02CC-4682-9AE4-7F5E2B13343E,1210  Fm 1486 Rd
37A4319B-8967-4CE6-84C8-21C2FD9E022B,403  Corporate Wood Dr
381E5ABA-9408-4BB5-B4CB-3064B3EE6CFF,111 E Hufsmith Rd
38EB06E5-E370-4ED7-9677-3464F566B59A,2390  Homer M Adams Pkwy
38EEF95F-D61E-4A8B-8112-701F14BB71F0,10930 W Sam Houston Pkwy
39AB7758-1F61-46FF-A11E-7B8554832A5B,17651  Cypress Flds
39F03485-9437-4ECC-A8CB-D9A248CD7B3B,11234 W Jones Rd
39F22420-8049-4AD7-A147-77CCF02445D2,2150  Bay Pointe Dr
3A89D601-B7DC-416C-AF08-16A5529842A0,20160  Fm 1488 Rd
3A929656-A39E-4166-80A6-80190763B302,10601 E Fwy
4B53BB64-DFF4-45D0-8569-088AB0421C7C,8818  Carraway Lane
4BBB24E9-5ED1-4628-B8EA-E406E53EADA8,829  Gardenia Ln
4C2D8E56-30C2-4CFF-A01D-0259D754B94C,10219  Tx Sage Way
4CE05CE4-95A2-4D93-BEEE-D113910D97B0,12011  Pebble Hl Dr
4D82FD13-1805-47CC-81FA-5F77B7834F8A,420  County Rd 913
4DBE2303-992F-44F7-AAEA-13952A3DD230,26902  State Highway 249
4E60638A-C39B-4ABC-A243-B93EC6999AA0,9522  Carraway Ln
4E7952A8-5CC8-44B4-8422-0EAEA0CBCF89,511  Magnolia Blvd
4E864153-EA4A-4071-B524-0253A8E3A1AD,8840 N Sam Houston Pkwy
4FF08011-6FE4-4402-A022-D446A08D9904,21542  State Highway 249
51523293-C06D-4BF7-8983-29ED0D700E60,7020 W Ave
51846D46-8FA3-403C-A328-F1AF2065F901,1728  Mountainview Dr
519403AD-FE3F-4FC3-855C-05B693FC5213,1800  Spg Vly Rd
52C48698-477A-4C31-92A4-B894DE3CA750,210  Sierra Blanca Ave
53C0FB37-4440-4014-A26E-FEFFE67A2C75,  Po Box 400
53E41305-94B0-4ABB-B3EF-1689AB175640,2825  Cedar Hl Ln
54596422-F0D3-4864-A44E-BC377647D1F9,3807  Louetta Rd
546394DB-5C0F-4BE0-AF56-3395CA015F7E,2302  Cypress Creek Pkwy
547D77D3-52D2-40DA-8CF6-9971C542290A,8624  Grassland Dr
54DEC36C-0123-4390-97DF-2A6A53CE575F,11280  Granite Rdg Dr Unit 1121
55B17E2A-905A-4014-BA51-6AF0E9DFF2F3,6218 Nw 35Th St
5608777B-3A19-4644-98A3-66C42B36CD1D,3193 S Ct
5635426D-EEA1-4173-AF3C-B24A8C535D91,14233 W Rd
56BA3C05-D14B-4435-B991-77E008944037,2544  Lands End Dr
56C675FC-7D2D-4C17-93B2-878C6CDCEF35,203  Hood St
56D50323-0773-4377-AD54-6EA4DE8172A9,  Po Box 130897
56FE2909-43CB-4ED1-9733-077264E98EBB,29602  Imperial Crk Dr
57C88AA1-7429-48FE-8B41-DC8CF3C18836,21117  Interstate 45
57F5BA84-FAB6-4AB3-94C5-94656355A6B8,2611  Mills Branch Drive
58C1EC00-5D02-4044-A567-5C91D4F2543E,24112  Frst Gln Dr
59895F26-3ADE-4DB6-A366-E80499F6C07E,8767 West Ln
59E80340-799E-4948-AC93-90F14BC0BB17,2233 N Fm 51
5B84F2D6-9242-4DD8-A563-A69E86FB2AF0,18503  Wade Crk Ln
5C350FD7-39E9-4206-BEAA-20280C3A1687,7102 W Sam Houston Pkwy
5C72B6ED-EBE7-4B8B-9376-A20C0706D858,31026  Dobbin Huffsmith Rd
5CAB72DF-1922-4844-8F12-D9A507CD45BA,2018 S Farola Dr
5EB48567-2975-4DD0-87E3-E23EFAE108C6,105 N Pecanwood
5ED5849B-BA1F-4DC4-AE7D-239E3765FE9F,6009  Maple Street
3B455678-8606-40FD-84C1-0A8429C9B8C1,10204 N Fairbanks
3B97ADA2-FD1C-43E8-B268-FF32982BEA2D,9988  Windmill Lk
3B9B8818-DDA5-4F20-ABDF-E4A61BC4DB29,28602  State Highway 249 Hwy
3BC79472-200F-4D02-906C-BAAF5B842B71,27760  Commercial Park Rd
3C352DE3-E740-4395-8210-991559A0F2CA,28202 E Benders Lndg Blvd
3D287D27-F306-437D-80DA-57B1D9F05371,20610  Limestone Rdg
3D3EB64D-AD82-4CD7-80EA-FD29C4C172B9,831  Magnolia Blvd
3DCAA401-B4DA-4ACC-8C26-B5158A850877,5435  Burnet Rd
3DD6B405-1295-48A8-A7EE-64129F3875DA,200 N Elm St
3E0A948A-A110-40E8-AB4C-4FB769A3A2DA,210 W Lynwood Ave
3EABA73B-7D3B-4321-A399-A23AAF8AA841,312  Coronado Private Cir
3F3BEF2A-CB61-4C5F-A36B-A1D23149FB28,38619  Fm 1774 Rd
